Date,Sentiment_Score
2023-05-15,0.13529264705882352
2023-05-16,0.08130281690140845
2023-05-17,0.14756029411764707
2023-05-18,0.2232493670886076
2023-05-19,0.1461201923076923
2023-05-20,0.05897575757575757
2023-05-21,0.04310952380952381
2023-05-22,0.06503170731707317
2023-05-23,0.1464831325301205
2023-05-24,0.10215569620253163
2023-05-25,0.14996774193548387
2023-05-26,0.04366764705882353
2023-05-27,0.03232666666666667
2023-05-28,0.06155555555555555
2023-05-29,0.14565
2023-06-01,0.14889634146341463
2023-06-02,0.1274532258064516
2023-06-03,0.14439545454545455
2023-06-04,0.12844375
2023-06-05,0.08509571428571427
2023-06-06,0.1283089552238806
2023-06-07,0.10265540540540541
2023-06-08,0.10199915966386555
2023-06-09,0.111872
2023-06-10,0.029941176470588235
2023-06-11,-0.01716538461538463
2023-06-12,0.15883396226415095
2023-06-13,0.0732887323943662
2023-06-14,0.13791621621621622
2023-06-15,0.07575454545454545
2023-06-16,0.07701891891891893
2023-06-17,0.11123200000000001
2023-06-18,0.050907142857142866
2023-06-19,0.13760535714285713
2023-06-20,0.07775352112676057
2023-06-21,0.12077916666666666
2023-06-22,0.05139466666666666
2023-06-23,0.10305714285714285
2023-06-24,0.025976470588235295
2023-06-25,0.015352631578947366
2023-06-26,0.0867448275862069
2023-06-27,0.12685643564356436
2023-06-28,0.10577078651685394
2023-07-01,0.05114736842105263
2023-07-02,0.1303736842105263
2023-07-03,0.12843076923076924
2023-07-04,0.1821090909090909
2023-07-05,0.08177282608695653
2023-07-06,0.05443902439024391
2023-07-07,0.09857662337662337
2023-07-08,0.09023999999999999
2023-07-09,0.11721153846153845
2023-07-10,0.15681486486486487
2023-07-11,0.13569176470588235
2023-07-12,0.07247906976744187
2023-07-13,0.12291935483870968
2023-07-14,0.10095
2023-07-15,0.12272222222222222
2023-07-16,0.11165
2023-07-17,0.07185875
2023-07-18,0.12357029702970297
2023-07-19,0.19595125
2023-07-20,0.2041698924731183
2023-07-21,0.13433189655172414
2023-07-22,0.1282375
2023-07-23,0.110552
2023-07-24,0.13109871794871794
2023-07-25,0.1646684210526316
2023-07-26,0.1487119266055046
2023-07-27,0.11133388429752065
2023-07-28,0.08146372549019608
2023-07-29,0.12608275862068966
2023-08-01,0.20256836734693878
2023-08-02,0.1291430107526882
2023-08-03,0.13673783783783783
2023-08-04,0.1502663157894737
2023-08-05,0.16139444444444445
2023-08-06,0.04170714285714285
2023-08-07,0.09524193548387097
2023-08-08,0.14356829268292684
2023-08-09,0.10894336283185842
2023-08-10,0.11733761467889908
2023-08-11,0.13856846846846846
2023-08-12,0.13825588235294117
2023-08-13,0.16441111111111112
2023-08-14,0.061613
2023-08-15,0.07409166666666667
2023-08-16,0.15156315789473682
2023-08-17,0.09903586956521739
2023-08-18,0.07197228915662651
2023-08-19,0.13635714285714287
2023-08-20,0.0995086956521739
2023-08-21,0.0847125
2023-08-22,0.0832575471698113
2023-08-23,0.06790833333333333
2023-08-24,0.05177471264367815
2023-08-25,0.07725232558139535
2023-08-26,0.08257352941176471
2023-08-27,0.03577333333333333
2023-08-28,0.12180306122448979
2023-08-29,0.10861294117647058
2023-09-01,0.09950759493670885
2023-09-02,0.1218896551724138
2023-09-03,0.14772333333333335
2023-09-04,0.14008533333333334
2023-09-05,0.18302527472527472
2023-09-06,0.10018064516129033
2023-09-07,0.10538311688311688
2023-09-08,0.11510941176470588
2023-09-09,-0.03008571428571429
2023-09-10,0.10560869565217393
2023-09-11,0.12661486486486487
2023-09-12,0.10583461538461539
2023-09-13,0.08611358024691358
2023-09-14,0.09309130434782607
2023-09-15,0.10382234042553191
2023-09-16,0.11611851851851851
2023-09-17,0.186355
2023-09-18,0.1235931506849315
2023-09-19,0.016451785714285714
2023-09-20,0.03666805555555555
2023-09-21,0.12719883720930233
2023-09-22,0.11567205882352942
2023-09-23,0.19763461538461538
2023-09-24,0.11993636363636363
2023-09-25,0.08617323943661971
2023-09-26,0.03659574468085106
2023-09-27,0.08376375
2023-09-28,0.10031625
2023-10-01,0.0486
2023-10-02,0.09869714285714284
2023-10-03,0.07245822784810126
2023-10-04,0.06658478260869564
2023-10-05,0.08095875
2023-10-06,0.1678285714285714
2023-10-07,0.048876666666666665
2023-10-08,-0.010172000000000007
2023-10-09,0.04233174603174603
2023-10-10,0.048756578947368415
2023-10-11,0.048065384615384614
2023-10-12,0.052568965517241384
2023-10-13,0.10976263736263736
2023-10-14,0.10991515151515151
2023-10-15,-0.22392083333333335
2023-10-16,0.1001065934065934
2023-10-17,0.13233625
2023-10-18,0.1465388349514563
2023-10-19,0.14445714285714287
2023-10-20,0.12686422018348625
2023-10-21,0.12032812500000001
2023-10-22,-0.029782142857142865
2023-10-23,0.07191764705882353
2023-10-24,0.06991666666666665
2023-10-25,0.12882470588235295
2023-10-26,0.19137956989247312
2023-10-27,0.1795875
2023-10-28,0.009006249999999999
2023-10-29,-0.018676190476190485
2023-11-01,0.14204455445544556
2023-11-02,0.12485636363636363
2023-11-03,0.15503375
2023-11-04,-0.02238372093023256
2023-11-05,0.017077777777777775
2023-11-06,0.14448367346938776
2023-11-07,0.14657654320987654
2023-11-08,0.07474189189189188
2023-11-09,0.1379608695652174
